l,cl
2,7.43917564330251e-07
3,1.0038112263258103e-06
4,1.2529214679062538e-06
5,1.4618511710472913e-06
6,1.6972570386446463e-06
7,1.8924676809479094e-06
8,2.069116950621441e-06
9,2.213100267317693e-06
10,2.4091240856209437e-06
11,2.594021210093922e-06
12,2.6535749745974796e-06
13,2.8470972895552267e-06
14,2.93678174148077e-06
15,2.9980087589546893e-06
16,3.145972298276696e-06
17,3.1704946008827463e-06
18,3.315124097532532e-06
19,3.379021808678051e-06
20,3.421495337143925e-06
21,3.520285050685182e-06
22,3.5639551493117263e-06
23,3.6001797658256983e-06
24,3.663208324548058e-06
25,3.617115359143716e-06
26,3.627623407767698e-06
27,3.6284967473605496e-06
28,3.7151497983324814e-06
29,3.6433580397961784e-06
30,3.7176373825815077e-06
31,3.7660519737964973e-06
32,3.7314785787914593e-06
33,3.656130261219829e-06
34,3.641490527055012e-06
35,3.6867341499892484e-06
36,3.7104755626878627e-06
37,3.648129567468231e-06
38,3.6405275823328497e-06
39,3.660751468925742e-06
40,3.5962466668500285e-06
41,3.662662536634002e-06
42,3.5279513174996074e-06
43,3.4967046765454553e-06
44,3.4453649616849565e-06
45,3.4914180806417127e-06
46,3.4127921412670372e-06
47,3.353068385767425e-06
48,3.3653333147488065e-06
49,3.307553411007834e-06
50,3.258544774959168e-06
51,3.233062735299865e-06
52,3.2270452683029943e-06
53,3.149928753214767e-06
54,3.09315863455368e-06
55,3.0828208668632253e-06
56,3.0575824830899526e-06
57,3.0008467867658802e-06
58,2.970593539661141e-06
59,2.9142553949903564e-06
60,2.8648519801888195e-06
61,2.82489565160551e-06
62,2.7564072268195426e-06
63,2.7686573050125055e-06
64,2.723360755819963e-06
65,2.6952020736684943e-06
66,2.661855036306568e-06
67,2.636476094238522e-06
68,2.5160522593432496e-06
69,2.476125083560193e-06
70,2.5116497132388553e-06
71,2.5054673950990863e-06
72,2.4128955817616107e-06
73,2.372121760838902e-06
74,2.319061599327584e-06
75,2.3466994009071747e-06
76,2.310281323553311e-06
77,2.2627686073086164e-06
78,2.233941837779886e-06
79,2.195726415088599e-06
80,2.1228186021229877e-06
81,2.1394843414931153e-06
82,2.1178986577129317e-06
83,2.1190137210823113e-06
84,2.042209973135849e-06
85,2.0192443050038046e-06
86,2.000376632613083e-06
87,1.9869084344811205e-06
88,1.9567385940195274e-06
89,1.9381943907210932e-06
90,1.9158880811314074e-06
91,1.908156380228527e-06
92,1.882824718198772e-06
93,1.887787079365897e-06
94,1.840818234590946e-06
95,1.8038587804889296e-06
96,1.8265180057107754e-06
97,1.8008845574072015e-06
98,1.7924397391857433e-06
99,1.7457019264761196e-06
100,1.7470276738554047e-06
101,1.7433950837894787e-06
102,1.710414599908217e-06
103,1.7100690801817114e-06
104,1.698025199190044e-06
105,1.6989529360920383e-06
106,1.6811560551523427e-06
107,1.6799223138102723e-06
108,1.6630722955916965e-06
109,1.6398387841702822e-06
110,1.6224052654064476e-06
111,1.6290983827500594e-06
112,1.6045205595503073e-06
113,1.6259786306086016e-06
114,1.5897646795232534e-06
115,1.5699760206499678e-06
116,1.567004605132632e-06
117,1.550219234662536e-06
118,1.5378396427234802e-06
119,1.5516797665052988e-06
120,1.5211532203153856e-06
121,1.504500646612241e-06
122,1.5061796075646441e-06
123,1.513342281965729e-06
124,1.4856529496317834e-06
125,1.4910694487791506e-06
126,1.4905748572700779e-06
127,1.4542395359280478e-06
128,1.476959688209365e-06
129,1.4523361605478924e-06
130,1.436560003153457e-06
131,1.4226245910082625e-06
132,1.4331554122250257e-06
133,1.4334949014829243e-06
134,1.4035399253627828e-06
135,1.4072733437270844e-06
136,1.4060394951826504e-06
137,1.373123454547028e-06
138,1.3689046385494241e-06
139,1.361768962516822e-06
140,1.3620068403295552e-06
141,1.3530947254391544e-06
142,1.3480842589587262e-06
143,1.3204910020457898e-06
144,1.3091906963189708e-06
145,1.3029654833594023e-06
146,1.2952728453002348e-06
147,1.2912346058254314e-06
148,1.265225083394463e-06
149,1.2657196693067325e-06
150,1.240617876594028e-06
151,1.2392364415878073e-06
152,1.2260226534553214e-06
153,1.2308600513351938e-06
154,1.2054620816037686e-06
155,1.1844593796958608e-06
156,1.1690818755509896e-06
157,1.167520466457153e-06
158,1.1710790462058437e-06
